epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,15155.7,0.99862,0.42981,0.90973,0.98905,0.99076,0.99343,0.6852,1.26315,0.42099,0.96934,0.0040105,0.0040105,0.0040105
123,15279,0.99923,0.4307,0.90916,0.98861,0.99241,0.99374,0.68602,1.26402,0.41925,0.97024,0.003961,0.003961,0.003961
124,15402.4,1.00629,0.42971,0.91169,0.98978,0.99371,0.99338,0.68591,1.26613,0.41944,0.97055,0.0039115,0.0039115,0.0039115
125,15525.7,0.97782,0.4212,0.90761,0.98858,0.99365,0.99321,0.68462,1.26566,0.42164,0.97221,0.003862,0.003862,0.003862
126,15649,0.99015,0.4209,0.90852,0.98743,0.9935,0.99335,0.68506,1.26624,0.41803,0.97251,0.0038125,0.0038125,0.0038125
127,15772.3,0.983,0.42286,0.90212,0.98775,0.99258,0.99352,0.68645,1.26329,0.41693,0.97137,0.003763,0.003763,0.003763
128,15895.6,0.98946,0.42486,0.90982,0.99116,0.98954,0.99342,0.68717,1.26265,0.418,0.97088,0.0037135,0.0037135,0.0037135
129,16019,0.97048,0.41678,0.90506,0.99078,0.98909,0.99314,0.68666,1.2634,0.41884,0.97045,0.003664,0.003664,0.003664
130,16142.3,0.96851,0.41415,0.90637,0.99122,0.989,0.99324,0.68756,1.26139,0.41881,0.97008,0.0036145,0.0036145,0.0036145
131,16265.6,0.9589,0.4144,0.90025,0.99032,0.989,0.99331,0.68851,1.26003,0.41986,0.97006,0.003565,0.003565,0.003565
132,16389,0.97447,0.41882,0.90306,0.98706,0.99201,0.99338,0.6899,1.26116,0.42009,0.9697,0.0035155,0.0035155,0.0035155
133,16512.4,0.96395,0.41281,0.89934,0.99162,0.98891,0.9935,0.69064,1.2616,0.41822,0.97003,0.003466,0.003466,0.003466
134,16635.7,0.96242,0.41234,0.90284,0.99236,0.989,0.99344,0.69072,1.26392,0.41695,0.9704,0.0034165,0.0034165,0.0034165
135,16759,0.9591,0.41366,0.90477,0.99205,0.98992,0.99363,0.69028,1.26446,0.41668,0.97081,0.003367,0.003367,0.003367
136,16882.3,0.96688,0.41425,0.90201,0.99206,0.989,0.99367,0.68838,1.26421,0.41868,0.97088,0.0033175,0.0033175,0.0033175
137,17005.6,0.94739,0.40816,0.89681,0.9909,0.98945,0.99353,0.68856,1.26428,0.41726,0.97054,0.003268,0.003268,0.003268
138,17129,0.95865,0.40968,0.90023,0.99149,0.98977,0.99354,0.68886,1.26491,0.41701,0.97094,0.0032185,0.0032185,0.0032185
139,17252.3,0.93929,0.40552,0.89788,0.99151,0.99022,0.99309,0.68832,1.26588,0.41727,0.97194,0.003169,0.003169,0.003169
140,17375.6,0.94058,0.40382,0.90021,0.99139,0.99025,0.99252,0.68827,1.26537,0.41744,0.97199,0.0031195,0.0031195,0.0031195
141,17499,0.95493,0.40323,0.89926,0.99122,0.9905,0.99265,0.6877,1.26675,0.4164,0.97199,0.00307,0.00307,0.00307
142,17622.3,0.93832,0.40332,0.89538,0.98993,0.9905,0.99243,0.68694,1.26903,0.41726,0.97248,0.0030205,0.0030205,0.0030205
143,17745.5,0.93629,0.40312,0.89844,0.98972,0.99025,0.9924,0.6865,1.27063,0.41772,0.97283,0.002971,0.002971,0.002971
144,17868.9,0.94399,0.40491,0.89829,0.98928,0.98981,0.9922,0.68589,1.26995,0.41726,0.97257,0.0029215,0.0029215,0.0029215
145,17992.2,0.92928,0.40117,0.89543,0.98951,0.99,0.99231,0.68613,1.26964,0.41796,0.97238,0.002872,0.002872,0.002872
146,18115.4,0.9249,0.39528,0.89121,0.98945,0.99,0.99228,0.68443,1.27033,0.41806,0.97265,0.0028225,0.0028225,0.0028225
147,18238.8,0.9332,0.39635,0.89689,0.98911,0.98975,0.99217,0.68349,1.27175,0.41824,0.97307,0.002773,0.002773,0.002773
148,18362,0.92725,0.39384,0.89638,0.98912,0.98975,0.99245,0.68456,1.27275,0.41853,0.97376,0.0027235,0.0027235,0.0027235
149,18485.4,0.91317,0.39381,0.89451,0.98816,0.99099,0.99251,0.68423,1.27193,0.41733,0.97344,0.002674,0.002674,0.002674
150,18608.7,0.91632,0.3942,0.89158,0.98832,0.99043,0.99261,0.68435,1.27434,0.41688,0.97392,0.0026245,0.0026245,0.0026245
151,18732,0.91934,0.39521,0.89361,0.98959,0.99112,0.99253,0.68412,1.27579,0.41651,0.97401,0.002575,0.002575,0.002575
152,18855.3,0.92024,0.39526,0.89417,0.98839,0.99087,0.99257,0.68364,1.2757,0.4177,0.97463,0.0025255,0.0025255,0.0025255
153,18978.6,0.90224,0.38995,0.88781,0.98848,0.99229,0.99258,0.68419,1.2764,0.41666,0.97507,0.002476,0.002476,0.002476
154,19101.9,0.90699,0.39148,0.89293,0.98852,0.99239,0.99244,0.68378,1.27894,0.41685,0.97605,0.0024265,0.0024265,0.0024265
155,19225.3,0.90289,0.38757,0.88972,0.98854,0.99245,0.99247,0.6833,1.27918,0.41763,0.97629,0.002377,0.002377,0.002377
156,19348.6,0.90578,0.3848,0.89108,0.98849,0.99261,0.99248,0.68202,1.28011,0.4158,0.97658,0.0023275,0.0023275,0.0023275
157,19472,0.90063,0.38902,0.88729,0.98866,0.99263,0.99243,0.68182,1.28062,0.41605,0.97707,0.002278,0.002278,0.002278
158,19595.3,0.89056,0.38046,0.88322,0.98837,0.99269,0.99237,0.68146,1.28033,0.41621,0.97757,0.0022285,0.0022285,0.0022285
159,19718.6,0.89153,0.38214,0.88466,0.98837,0.99277,0.99238,0.6816,1.28137,0.41539,0.97749,0.002179,0.002179,0.002179
160,19842,0.89111,0.37925,0.88531,0.98838,0.99282,0.9924,0.6823,1.28068,0.41555,0.97756,0.0021295,0.0021295,0.0021295
161,19965.3,0.88262,0.37902,0.88176,0.98812,0.99372,0.99239,0.68229,1.28336,0.41551,0.97768,0.00208,0.00208,0.00208
162,20088.7,0.88794,0.38234,0.88646,0.98815,0.99384,0.99243,0.68319,1.28219,0.41535,0.97788,0.0020305,0.0020305,0.0020305
163,20212,0.87659,0.37805,0.88144,0.98816,0.99402,0.99243,0.68327,1.28286,0.41554,0.97821,0.001981,0.001981,0.001981
164,20335.3,0.87369,0.37534,0.87849,0.98821,0.99417,0.99242,0.68339,1.2834,0.41644,0.97796,0.0019315,0.0019315,0.0019315
165,20458.7,0.87625,0.37736,0.87969,0.98821,0.99424,0.99237,0.68356,1.28212,0.41583,0.97779,0.001882,0.001882,0.001882
166,20582,0.86902,0.37283,0.87973,0.98828,0.99424,0.99237,0.68285,1.28335,0.41649,0.97843,0.0018325,0.0018325,0.0018325
167,20705.3,0.86822,0.37073,0.88157,0.98796,0.99399,0.99236,0.68314,1.28483,0.4162,0.97892,0.001783,0.001783,0.001783
168,20828.7,0.86259,0.36778,0.87999,0.98806,0.99399,0.99228,0.68339,1.28599,0.41551,0.97923,0.0017335,0.0017335,0.0017335
169,20951.9,0.86748,0.3712,0.87852,0.98795,0.99374,0.99226,0.68401,1.28542,0.41554,0.97916,0.001684,0.001684,0.001684
170,21075.2,0.85646,0.36656,0.87884,0.98805,0.99374,0.99223,0.6837,1.28601,0.41533,0.97954,0.0016345,0.0016345,0.0016345
171,21198.6,0.85247,0.36465,0.87766,0.98818,0.99374,0.99223,0.68286,1.28706,0.4152,0.97992,0.001585,0.001585,0.001585
172,21321.9,0.85043,0.36717,0.87644,0.9882,0.99374,0.99222,0.68242,1.28702,0.41511,0.97991,0.0015355,0.0015355,0.0015355
173,21445.1,0.84775,0.36096,0.87553,0.98824,0.99374,0.99219,0.68219,1.28773,0.41489,0.98027,0.001486,0.001486,0.001486
174,21568.5,0.8475,0.36209,0.87042,0.98816,0.99374,0.9922,0.6825,1.2883,0.4149,0.98038,0.0014365,0.0014365,0.0014365
175,21691.9,0.84864,0.36353,0.87716,0.98813,0.99374,0.99217,0.68263,1.2895,0.4149,0.98067,0.001387,0.001387,0.001387
176,21815.2,0.85504,0.36627,0.8788,0.98972,0.99222,0.99214,0.68387,1.28905,0.41586,0.98097,0.0013375,0.0013375,0.0013375
177,21938.4,0.84222,0.3597,0.87648,0.98997,0.99248,0.99228,0.68264,1.28857,0.41591,0.9811,0.001288,0.001288,0.001288
178,22061.7,0.83995,0.35913,0.87652,0.98879,0.99293,0.9922,0.68143,1.29088,0.41555,0.98136,0.0012385,0.0012385,0.0012385
