epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,18905.1,1.06555,0.44922,0.92897,0.99517,0.99407,0.99472,0.74413,1.08083,0.39463,0.91629,0.005149,0.005149,0.005149
100,19095.5,1.07208,0.45574,0.93249,0.99446,0.99486,0.99473,0.74437,1.07811,0.39425,0.91545,0.0050995,0.0050995,0.0050995
101,19286.1,1.06344,0.44911,0.93371,0.99379,0.994,0.99468,0.74418,1.07502,0.3937,0.91506,0.00505,0.00505,0.00505
102,19476.6,1.0622,0.44639,0.93514,0.99372,0.99458,0.99467,0.74458,1.07237,0.39183,0.9145,0.0050005,0.0050005,0.0050005
103,19667.1,1.05347,0.44396,0.93105,0.99354,0.9949,0.99466,0.74631,1.06993,0.39129,0.914,0.004951,0.004951,0.004951
104,19857.6,1.05154,0.44414,0.92838,0.99378,0.99489,0.99465,0.74683,1.06801,0.39107,0.91385,0.0049015,0.0049015,0.0049015
105,20048,1.05657,0.44755,0.931,0.99305,0.99421,0.99449,0.74732,1.06536,0.38881,0.91323,0.004852,0.004852,0.004852
106,20238.4,1.05099,0.44268,0.92732,0.99306,0.99421,0.99449,0.74762,1.06345,0.38739,0.91268,0.0048025,0.0048025,0.0048025
107,20428.9,1.05604,0.44458,0.92488,0.99318,0.99407,0.99449,0.74753,1.06183,0.38647,0.91227,0.004753,0.004753,0.004753
108,20619.4,1.043,0.44066,0.92414,0.99283,0.99339,0.99449,0.74827,1.06007,0.38625,0.91198,0.0047035,0.0047035,0.0047035
109,20809.9,1.03715,0.43908,0.925,0.99373,0.99432,0.9946,0.74856,1.0589,0.38595,0.91161,0.004654,0.004654,0.004654
110,21000.4,1.04631,0.43877,0.92629,0.99388,0.99433,0.9946,0.74913,1.05764,0.38518,0.91125,0.0046045,0.0046045,0.0046045
111,21190.9,1.04724,0.43999,0.92501,0.9931,0.99339,0.9945,0.74892,1.05511,0.38476,0.91054,0.004555,0.004555,0.004555
112,21381.4,1.04713,0.44036,0.92852,0.99311,0.99339,0.99451,0.74918,1.05282,0.38425,0.9102,0.0045055,0.0045055,0.0045055
113,21571.9,1.03964,0.43666,0.92552,0.99348,0.99269,0.9945,0.74964,1.05149,0.38365,0.91005,0.004456,0.004456,0.004456
114,21762.5,1.0394,0.43678,0.9283,0.99338,0.99379,0.9945,0.75008,1.05011,0.38327,0.90985,0.0044065,0.0044065,0.0044065
115,21952.9,1.03583,0.43884,0.92422,0.99336,0.99387,0.99449,0.7509,1.04938,0.38346,0.90979,0.004357,0.004357,0.004357
116,22143.4,1.02067,0.42953,0.9217,0.99333,0.99397,0.99449,0.75141,1.04773,0.38316,0.90945,0.0043075,0.0043075,0.0043075
117,22333.9,1.02155,0.42745,0.92277,0.99311,0.99407,0.99451,0.75197,1.04744,0.38223,0.90923,0.004258,0.004258,0.004258
118,22524.5,1.03017,0.43164,0.92435,0.99331,0.99406,0.99448,0.75184,1.04605,0.38122,0.90888,0.0042085,0.0042085,0.0042085
119,22715,1.02817,0.43098,0.9188,0.99279,0.99339,0.99448,0.75159,1.0456,0.38117,0.9087,0.004159,0.004159,0.004159
120,22905.6,1.02559,0.42688,0.91937,0.99251,0.99347,0.99448,0.75185,1.04418,0.38072,0.90835,0.0041095,0.0041095,0.0041095
121,23096,1.02427,0.42897,0.9201,0.9925,0.99332,0.99447,0.75214,1.04434,0.38075,0.90785,0.00406,0.00406,0.00406
122,23286.5,1.01282,0.42571,0.91669,0.99271,0.99324,0.99447,0.75202,1.04359,0.3803,0.90762,0.0040105,0.0040105,0.0040105
123,23477,1.01709,0.42793,0.91865,0.99315,0.9937,0.99446,0.75242,1.04248,0.37925,0.90743,0.003961,0.003961,0.003961
124,23667.5,1.00977,0.42363,0.91859,0.993,0.99356,0.99447,0.75264,1.0411,0.3792,0.90712,0.0039115,0.0039115,0.0039115
125,23857.9,1.02237,0.42627,0.91764,0.99292,0.99358,0.99446,0.75347,1.04032,0.37882,0.90685,0.003862,0.003862,0.003862
126,24048.3,1.00443,0.42019,0.91857,0.99292,0.99375,0.99446,0.75358,1.03911,0.37863,0.90663,0.0038125,0.0038125,0.0038125
127,24238.8,1.00503,0.41923,0.91639,0.99292,0.99365,0.99445,0.75498,1.0383,0.37787,0.90627,0.003763,0.003763,0.003763
128,24429.3,1.00622,0.42,0.9154,0.99208,0.99392,0.99445,0.75445,1.03642,0.37731,0.90596,0.0037135,0.0037135,0.0037135
129,24619.7,0.99997,0.41952,0.91316,0.99224,0.99334,0.99443,0.75527,1.03558,0.37666,0.90574,0.003664,0.003664,0.003664
130,24810.3,0.99661,0.41455,0.91029,0.99224,0.99335,0.99445,0.75527,1.03451,0.37615,0.90553,0.0036145,0.0036145,0.0036145
131,25000.7,1.00197,0.41799,0.91193,0.99224,0.99344,0.99444,0.75513,1.03378,0.37571,0.90526,0.003565,0.003565,0.003565
132,25191.1,0.98744,0.41236,0.9125,0.99207,0.99378,0.99445,0.75549,1.0324,0.37548,0.90497,0.0035155,0.0035155,0.0035155
133,25381.7,0.98872,0.41269,0.91132,0.99207,0.99378,0.99444,0.75657,1.03168,0.37512,0.90482,0.003466,0.003466,0.003466
