lat,lon,elevation,gx,gy,slope_mag,slope_deg
43.6597883,-79.3959502,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.395944,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.3959377,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.3959315,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.3959253,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.3959191,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.3959128,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.3959066,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.3959004,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.3958942,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.3958879,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.3958817,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.3958755,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.3958692,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.395863,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.3958568,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.3958506,114.0,0.0,0.0,0.0,0.0
43.6597883,-79.3958443,114.0,-1.002501952351599,0.0,1.002501952351599,45.07158606538642
43.6597883,-79.3958381,113.0,-1.002501952351599,0.0,1.002501952351599,45.07158606538642
43.6597883,-79.3958319,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3958257,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3958194,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3958132,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.395807,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3958008,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3957945,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3957883,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3957821,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3957758,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3957696,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3957634,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3957572,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3957509,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3957447,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3957385,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3957323,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.395726,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3957198,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3957136,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3957074,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3957011,113.0,0.0,0.0,0.0,0.0
43.6597883,-79.3956949,113.0,0.0,0.0,0.0,0.0
43.6597928,-79.3963113,114.0,0.0,0.0,0.0,0.0
43.6597928,-79.3963051,114.0,0.0,0.0,0.0,0.0
43.6597928,-79.3962989,114.0,0.0,0.0,0.0,0.0
43.6597928,-79.3962926,114.0,0.0,0.0,0.0,0.0
